epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.5068,0.0360,0.5832,0.6951,0.0240
1,0.6761,0.0201,0.7269,0.7819,0.0184
2,0.7505,0.0145,0.7146,0.8055,0.0150
3,0.8063,0.0106,0.7893,0.8409,0.0126
4,0.8446,0.0078,0.8535,0.8750,0.0136
5,0.8828,0.0053,0.8199,0.8783,0.0101
6,0.9036,0.0039,0.8710,0.8769,0.0211
7,0.9242,0.0028,0.8628,0.8929,0.0113
8,0.9347,0.0023,0.9054,0.9143,0.0150
9,0.9517,0.0016,0.9008,0.9087,0.0175
10,0.9475,0.0018,0.8928,0.9139,0.0114
11,0.9578,0.0015,0.8948,0.9131,0.0132
12,0.9663,0.0011,0.8311,0.8844,0.0109
13,0.9539,0.0015,0.9087,0.9185,0.0134
14,0.9694,0.0010,0.9134,0.9192,0.0171
15,0.9675,0.0011,0.9031,0.9171,0.0152
16,0.9685,0.0011,0.9104,0.9207,0.0154
17,0.9809,0.0006,0.9106,0.9156,0.0218
18,0.9685,0.0011,0.9151,0.9233,0.0167
19,0.9803,0.0007,0.9192,0.9251,0.0170
