epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2664,0.0626,0.3067,0.3626,0.0529
1,0.3466,0.0485,0.3851,0.4337,0.0460
2,0.4025,0.0438,0.4552,0.4712,0.0437
3,0.4394,0.0409,0.4376,0.5293,0.0404
4,0.4711,0.0379,0.5000,0.5603,0.0367
5,0.4917,0.0364,0.5113,0.5822,0.0351
6,0.5097,0.0346,0.5208,0.5992,0.0337
7,0.5248,0.0332,0.5411,0.6146,0.0329
8,0.5368,0.0320,0.5685,0.6294,0.0319
9,0.5473,0.0312,0.5934,0.6312,0.0323
10,0.5604,0.0303,0.5323,0.6367,0.0309
11,0.5676,0.0297,0.5854,0.6547,0.0296
12,0.5773,0.0290,0.5937,0.6623,0.0289
13,0.5833,0.0285,0.6065,0.6676,0.0286
14,0.5900,0.0277,0.5882,0.6707,0.0281
15,0.5968,0.0273,0.6309,0.6810,0.0280
16,0.6025,0.0267,0.6264,0.6863,0.0273
17,0.6068,0.0265,0.6490,0.6870,0.0281
18,0.6118,0.0261,0.6208,0.6908,0.0266
19,0.6154,0.0257,0.6316,0.6944,0.0264
