epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.4882,0.0432,0.6517,0.6788,0.0304
1,0.6546,0.0256,0.4811,0.6783,0.0348
2,0.7204,0.0202,0.6131,0.7532,0.0233
3,0.7660,0.0160,0.5899,0.7525,0.0225
4,0.8005,0.0136,0.7654,0.8281,0.0154
5,0.8291,0.0109,0.8144,0.8455,0.0151
6,0.8548,0.0089,0.8506,0.8613,0.0165
7,0.8768,0.0072,0.8410,0.8618,0.0157
8,0.8988,0.0053,0.8413,0.8691,0.0139
9,0.9135,0.0042,0.8581,0.8773,0.0138
10,0.9262,0.0034,0.8579,0.8743,0.0163
11,0.9426,0.0025,0.8773,0.8857,0.0176
12,0.9469,0.0022,0.8577,0.8852,0.0150
13,0.9501,0.0020,0.8113,0.8704,0.0135
14,0.9574,0.0017,0.8174,0.8585,0.0185
15,0.9537,0.0018,0.8778,0.8883,0.0186
16,0.9687,0.0012,0.8739,0.8846,0.0190
17,0.9717,0.0011,0.8731,0.8883,0.0176
18,0.9649,0.0015,0.8681,0.8892,0.0184
19,0.9712,0.0011,0.8802,0.8932,0.0182
