epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2676,0.0746,0.3171,0.3548,0.0569
1,0.3306,0.0565,0.3432,0.3772,0.0535
2,0.3540,0.0531,0.3696,0.4082,0.0502
3,0.3738,0.0508,0.3831,0.3896,0.0497
4,0.3929,0.0490,0.3751,0.4485,0.0480
5,0.4133,0.0475,0.4156,0.4770,0.0449
6,0.4325,0.0457,0.4360,0.4898,0.0429
7,0.4479,0.0440,0.4685,0.4971,0.0422
8,0.4606,0.0427,0.4658,0.5196,0.0409
9,0.4718,0.0415,0.4933,0.5259,0.0403
10,0.4836,0.0407,0.5052,0.5369,0.0396
11,0.4921,0.0400,0.5078,0.5536,0.0386
12,0.5003,0.0395,0.5062,0.5654,0.0377
13,0.5066,0.0389,0.4623,0.5636,0.0389
14,0.5161,0.0382,0.5274,0.5797,0.0366
15,0.5237,0.0372,0.4539,0.5744,0.0391
16,0.5303,0.0366,0.5497,0.5883,0.0363
17,0.5378,0.0357,0.5317,0.5967,0.0352
18,0.5426,0.0356,0.5431,0.5998,0.0350
19,0.5493,0.0349,0.4946,0.6037,0.0355
20,0.5501,0.0346,0.5456,0.6162,0.0340
21,0.5570,0.0344,0.5318,0.6145,0.0339
22,0.5603,0.0337,0.5370,0.6196,0.0336
23,0.5649,0.0338,0.5779,0.6201,0.0339
24,0.5695,0.0334,0.5048,0.6149,0.0344
25,0.5706,0.0329,0.5202,0.6234,0.0335
26,0.5757,0.0324,0.5121,0.6248,0.0339
27,0.5791,0.0323,0.5796,0.6398,0.0323
28,0.5821,0.0319,0.4982,0.6250,0.0343
29,0.5840,0.0316,0.6072,0.6367,0.0336
30,0.5902,0.0312,0.5120,0.6285,0.0334
31,0.5906,0.0313,0.5967,0.6467,0.0317
32,0.5931,0.0309,0.6148,0.6477,0.0327
33,0.5949,0.0307,0.5123,0.6371,0.0333
34,0.5978,0.0307,0.5789,0.6527,0.0309
35,0.5995,0.0301,0.6060,0.6565,0.0313
36,0.6040,0.0301,0.5531,0.6558,0.0315
37,0.6050,0.0297,0.5425,0.6531,0.0314
38,0.6051,0.0297,0.6029,0.6622,0.0304
39,0.6090,0.0294,0.5434,0.6516,0.0313
40,0.6129,0.0290,0.6082,0.6656,0.0302
41,0.6126,0.0288,0.5811,0.6648,0.0299
42,0.6171,0.0288,0.5602,0.6608,0.0304
43,0.6183,0.0284,0.5620,0.6642,0.0302
44,0.6202,0.0283,0.6307,0.6725,0.0306
45,0.6200,0.0285,0.5888,0.6695,0.0295
46,0.6219,0.0284,0.5761,0.6710,0.0297
47,0.6245,0.0280,0.6232,0.6794,0.0294
48,0.6266,0.0277,0.5780,0.6753,0.0295
49,0.6297,0.0275,0.5925,0.6788,0.0292
50,0.6288,0.0275,0.6269,0.6822,0.0290
51,0.6311,0.0276,0.5960,0.6834,0.0290
52,0.6339,0.0272,0.5502,0.6724,0.0306
53,0.6347,0.0272,0.6225,0.6849,0.0287
54,0.6378,0.0269,0.5514,0.6754,0.0299
55,0.6368,0.0268,0.6466,0.6856,0.0296
56,0.6406,0.0268,0.6389,0.6909,0.0287
57,0.6414,0.0263,0.5912,0.6861,0.0285
58,0.6420,0.0265,0.5975,0.6911,0.0285
59,0.6448,0.0261,0.6208,0.6891,0.0281
60,0.6439,0.0263,0.6550,0.6908,0.0294
61,0.6459,0.0260,0.6249,0.6955,0.0280
62,0.6480,0.0260,0.6138,0.6946,0.0280
63,0.6478,0.0259,0.6540,0.7018,0.0285
64,0.6489,0.0258,0.6466,0.6955,0.0283
65,0.6516,0.0256,0.6219,0.6962,0.0276
66,0.6523,0.0255,0.6371,0.6976,0.0277
67,0.6542,0.0254,0.6084,0.6961,0.0278
68,0.6551,0.0252,0.6201,0.6985,0.0276
69,0.6554,0.0253,0.6193,0.7009,0.0276
70,0.6572,0.0248,0.5326,0.6783,0.0305
71,0.6573,0.0253,0.5807,0.6901,0.0282
72,0.6589,0.0251,0.6094,0.6992,0.0276
73,0.6603,0.0247,0.6098,0.6997,0.0275
74,0.6613,0.0250,0.6621,0.7079,0.0280
75,0.6627,0.0246,0.6276,0.7082,0.0273
76,0.6649,0.0245,0.6561,0.7061,0.0277
77,0.6645,0.0246,0.6348,0.7100,0.0271
78,0.6650,0.0245,0.5568,0.6927,0.0289
79,0.6671,0.0244,0.5709,0.6954,0.0284
80,0.6670,0.0239,0.6527,0.7138,0.0271
81,0.6655,0.0243,0.6278,0.7057,0.0269
82,0.6693,0.0241,0.6729,0.7096,0.0283
83,0.6701,0.0238,0.6172,0.7098,0.0272
84,0.6713,0.0237,0.6438,0.7121,0.0271
85,0.6704,0.0240,0.6454,0.7151,0.0267
86,0.6717,0.0239,0.5920,0.7013,0.0275
87,0.6751,0.0235,0.5675,0.6979,0.0286
88,0.6745,0.0234,0.6306,0.7098,0.0267
89,0.6758,0.0233,0.5953,0.7024,0.0273
90,0.6759,0.0234,0.6123,0.7055,0.0268
91,0.6765,0.0234,0.6191,0.7097,0.0268
92,0.6774,0.0232,0.6638,0.7179,0.0266
93,0.6761,0.0233,0.6831,0.7153,0.0284
94,0.6800,0.0231,0.6797,0.7175,0.0273
95,0.6796,0.0231,0.6682,0.7179,0.0267
96,0.6807,0.0227,0.6251,0.7110,0.0265
97,0.6806,0.0228,0.6437,0.7153,0.0263
98,0.6820,0.0228,0.6596,0.7175,0.0265
99,0.6809,0.0230,0.6310,0.7163,0.0264
