epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2675,0.0746,0.3171,0.3548,0.0569
1,0.3306,0.0565,0.3432,0.3773,0.0535
2,0.3539,0.0531,0.3694,0.4080,0.0502
3,0.3737,0.0508,0.3829,0.3897,0.0497
4,0.3929,0.0490,0.3750,0.4486,0.0480
5,0.4133,0.0475,0.4154,0.4771,0.0449
6,0.4324,0.0457,0.4359,0.4901,0.0429
7,0.4479,0.0440,0.4689,0.4977,0.0422
8,0.4606,0.0427,0.4659,0.5198,0.0409
9,0.4718,0.0416,0.4927,0.5257,0.0403
10,0.4836,0.0407,0.5056,0.5377,0.0396
11,0.4920,0.0400,0.5073,0.5538,0.0386
12,0.5002,0.0395,0.5058,0.5654,0.0377
13,0.5066,0.0389,0.4619,0.5632,0.0389
14,0.5163,0.0382,0.5274,0.5797,0.0366
15,0.5236,0.0372,0.4544,0.5747,0.0391
16,0.5303,0.0366,0.5495,0.5889,0.0363
17,0.5378,0.0357,0.5319,0.5964,0.0352
18,0.5428,0.0356,0.5435,0.5998,0.0350
19,0.5492,0.0349,0.4952,0.6032,0.0355
