epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2692,0.0685,0.3369,0.3725,0.0538
1,0.3656,0.0519,0.3961,0.4556,0.0475
2,0.4252,0.0463,0.4729,0.5126,0.0429
3,0.4702,0.0422,0.4455,0.5522,0.0416
4,0.4993,0.0396,0.4331,0.5696,0.0425
5,0.5204,0.0377,0.4862,0.5962,0.0379
6,0.5381,0.0358,0.5299,0.6164,0.0354
7,0.5526,0.0348,0.5370,0.6252,0.0343
8,0.5631,0.0334,0.5497,0.6349,0.0330
9,0.5718,0.0329,0.5096,0.6278,0.0343
10,0.5802,0.0319,0.5886,0.6522,0.0315
11,0.5901,0.0311,0.5811,0.6555,0.0312
12,0.5971,0.0304,0.6087,0.6595,0.0306
13,0.6062,0.0294,0.4449,0.6309,0.0389
14,0.6086,0.0294,0.5948,0.6652,0.0299
15,0.6155,0.0288,0.6255,0.6767,0.0291
16,0.6214,0.0280,0.5821,0.6729,0.0294
17,0.6255,0.0275,0.6314,0.6815,0.0287
18,0.6291,0.0272,0.5683,0.6743,0.0300
19,0.6339,0.0264,0.6312,0.6912,0.0278
