epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.4265,0.0413,0.5649,0.6093,0.0278
1,0.6014,0.0248,0.5813,0.6764,0.0231
2,0.6724,0.0198,0.6843,0.7429,0.0190
3,0.7162,0.0169,0.6743,0.7581,0.0176
4,0.7641,0.0133,0.7764,0.8051,0.0165
5,0.7894,0.0115,0.7995,0.8231,0.0156
6,0.8193,0.0093,0.7157,0.8020,0.0147
7,0.8450,0.0076,0.8137,0.8471,0.0138
8,0.8696,0.0060,0.8005,0.8427,0.0141
9,0.8891,0.0046,0.8503,0.8620,0.0167
10,0.9067,0.0036,0.8448,0.8665,0.0153
11,0.9141,0.0032,0.8515,0.8638,0.0174
12,0.9333,0.0023,0.8412,0.8604,0.0180
13,0.9405,0.0020,0.8660,0.8773,0.0181
14,0.9492,0.0016,0.8252,0.8651,0.0148
15,0.9479,0.0017,0.8687,0.8738,0.0226
16,0.9575,0.0013,0.8543,0.8706,0.0199
17,0.9580,0.0013,0.8720,0.8814,0.0192
18,0.9577,0.0014,0.8682,0.8804,0.0201
19,0.9686,0.0009,0.8727,0.8772,0.0244
