epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2307,0.0666,0.2781,0.2716,0.0526
1,0.2907,0.0506,0.2803,0.3120,0.0494
2,0.3079,0.0483,0.3108,0.3366,0.0465
3,0.3230,0.0464,0.3304,0.3530,0.0445
4,0.3378,0.0453,0.3532,0.3626,0.0429
5,0.3548,0.0433,0.3595,0.3820,0.0415
6,0.3699,0.0425,0.3766,0.4115,0.0406
7,0.3893,0.0409,0.3969,0.4193,0.0395
8,0.4062,0.0399,0.4096,0.4114,0.0402
9,0.4156,0.0392,0.4198,0.4561,0.0379
10,0.4297,0.0381,0.4245,0.4663,0.0371
11,0.4413,0.0369,0.4345,0.4738,0.0363
12,0.4514,0.0365,0.4507,0.4859,0.0358
13,0.4594,0.0361,0.3886,0.4933,0.0380
14,0.4692,0.0352,0.4786,0.5160,0.0347
15,0.4777,0.0349,0.4749,0.5210,0.0341
16,0.4860,0.0341,0.4994,0.5309,0.0342
17,0.4928,0.0338,0.4795,0.5377,0.0332
18,0.4994,0.0331,0.5166,0.5459,0.0336
19,0.5045,0.0328,0.4875,0.5527,0.0326
20,0.5093,0.0325,0.5104,0.5564,0.0323
21,0.5150,0.0322,0.4716,0.5560,0.0324
22,0.5188,0.0320,0.5283,0.5623,0.0326
23,0.5231,0.0315,0.4895,0.5661,0.0317
24,0.5256,0.0313,0.5040,0.5732,0.0313
25,0.5310,0.0310,0.4786,0.5696,0.0316
26,0.5327,0.0307,0.5545,0.5796,0.0322
27,0.5370,0.0305,0.5189,0.5851,0.0306
28,0.5400,0.0304,0.5271,0.5898,0.0305
29,0.5433,0.0298,0.5446,0.5926,0.0306
30,0.5452,0.0297,0.5417,0.5973,0.0301
31,0.5479,0.0296,0.5522,0.5992,0.0302
32,0.5497,0.0293,0.5411,0.5991,0.0297
33,0.5528,0.0291,0.5388,0.6011,0.0296
34,0.5546,0.0288,0.5542,0.6021,0.0298
35,0.5578,0.0285,0.5170,0.5987,0.0296
36,0.5601,0.0285,0.5545,0.6080,0.0295
37,0.5605,0.0285,0.5542,0.6111,0.0294
38,0.5633,0.0283,0.5711,0.6132,0.0296
39,0.5658,0.0281,0.5625,0.6136,0.0289
40,0.5671,0.0281,0.5743,0.6157,0.0294
41,0.5677,0.0278,0.5728,0.6193,0.0291
42,0.5714,0.0276,0.5688,0.6226,0.0286
43,0.5733,0.0274,0.5437,0.6151,0.0286
44,0.5736,0.0275,0.5738,0.6227,0.0286
45,0.5771,0.0270,0.5047,0.6102,0.0294
46,0.5776,0.0272,0.5801,0.6264,0.0286
47,0.5801,0.0269,0.5612,0.6266,0.0280
48,0.5817,0.0268,0.5655,0.6276,0.0280
49,0.5834,0.0267,0.5306,0.6181,0.0281
50,0.5827,0.0266,0.5341,0.6216,0.0281
51,0.5850,0.0264,0.5807,0.6359,0.0279
52,0.5875,0.0263,0.5238,0.6229,0.0281
53,0.5890,0.0262,0.5735,0.6328,0.0277
54,0.5898,0.0260,0.5640,0.6322,0.0275
55,0.5921,0.0260,0.5599,0.6322,0.0275
56,0.5930,0.0258,0.6031,0.6367,0.0287
57,0.5928,0.0260,0.5904,0.6398,0.0276
58,0.5954,0.0256,0.5865,0.6417,0.0275
59,0.5962,0.0257,0.5144,0.6254,0.0283
60,0.5980,0.0253,0.5391,0.6318,0.0275
61,0.5992,0.0253,0.5197,0.6269,0.0278
62,0.6019,0.0249,0.5530,0.6379,0.0271
63,0.6019,0.0249,0.5653,0.6410,0.0269
64,0.6039,0.0249,0.5308,0.6332,0.0278
65,0.6046,0.0249,0.5445,0.6381,0.0272
66,0.6060,0.0248,0.6036,0.6488,0.0273
67,0.6066,0.0248,0.5541,0.6432,0.0268
68,0.6088,0.0245,0.5573,0.6438,0.0268
69,0.6096,0.0245,0.6163,0.6536,0.0277
70,0.6097,0.0245,0.5905,0.6519,0.0265
71,0.6101,0.0244,0.6144,0.6558,0.0273
72,0.6121,0.0241,0.6085,0.6569,0.0268
73,0.6136,0.0242,0.6056,0.6565,0.0267
74,0.6147,0.0241,0.5711,0.6531,0.0263
75,0.6152,0.0242,0.5736,0.6525,0.0262
76,0.6152,0.0241,0.5917,0.6562,0.0261
77,0.6161,0.0238,0.5821,0.6523,0.0263
78,0.6188,0.0240,0.5906,0.6567,0.0261
79,0.6203,0.0238,0.5808,0.6556,0.0259
80,0.6196,0.0236,0.6259,0.6643,0.0269
81,0.6230,0.0233,0.6114,0.6634,0.0263
82,0.6213,0.0236,0.5883,0.6606,0.0258
83,0.6238,0.0236,0.5772,0.6585,0.0258
84,0.6250,0.0232,0.6154,0.6682,0.0260
85,0.6247,0.0232,0.5239,0.6443,0.0269
86,0.6252,0.0235,0.5625,0.6567,0.0259
87,0.6268,0.0232,0.6164,0.6660,0.0261
88,0.6282,0.0231,0.5570,0.6567,0.0262
89,0.6290,0.0231,0.5655,0.6585,0.0260
90,0.6282,0.0231,0.5711,0.6598,0.0257
91,0.6294,0.0229,0.5831,0.6641,0.0256
92,0.6303,0.0230,0.5998,0.6680,0.0255
93,0.6315,0.0225,0.6174,0.6705,0.0257
94,0.6302,0.0231,0.6162,0.6721,0.0255
95,0.6354,0.0224,0.6170,0.6696,0.0256
96,0.6335,0.0227,0.6017,0.6678,0.0254
97,0.6347,0.0224,0.6051,0.6701,0.0254
98,0.6369,0.0223,0.6156,0.6695,0.0257
99,0.6356,0.0224,0.5669,0.6601,0.0256
