epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2307,0.0666,0.2781,0.2716,0.0526
1,0.2908,0.0506,0.2805,0.3121,0.0494
2,0.3079,0.0483,0.3112,0.3367,0.0465
3,0.3230,0.0464,0.3304,0.3528,0.0445
4,0.3379,0.0453,0.3535,0.3631,0.0429
5,0.3548,0.0433,0.3596,0.3823,0.0415
6,0.3699,0.0425,0.3766,0.4119,0.0406
7,0.3892,0.0409,0.3971,0.4193,0.0395
8,0.4063,0.0399,0.4105,0.4121,0.0402
9,0.4156,0.0392,0.4193,0.4554,0.0379
10,0.4297,0.0381,0.4242,0.4661,0.0371
11,0.4412,0.0369,0.4344,0.4741,0.0363
12,0.4515,0.0365,0.4514,0.4867,0.0358
13,0.4593,0.0361,0.3885,0.4937,0.0380
14,0.4695,0.0352,0.4791,0.5171,0.0347
15,0.4776,0.0349,0.4745,0.5207,0.0341
16,0.4860,0.0340,0.4992,0.5307,0.0342
17,0.4931,0.0338,0.4797,0.5381,0.0332
18,0.4997,0.0331,0.5167,0.5461,0.0336
19,0.5046,0.0328,0.4878,0.5522,0.0326
