epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2297,0.0625,0.2827,0.3031,0.0491
1,0.3079,0.0471,0.3284,0.3576,0.0444
2,0.3631,0.0436,0.3747,0.4199,0.0407
3,0.4081,0.0403,0.4368,0.4477,0.0394
4,0.4410,0.0375,0.4699,0.4948,0.0364
5,0.4676,0.0357,0.4255,0.5141,0.0354
6,0.4854,0.0343,0.5066,0.5298,0.0342
7,0.5015,0.0327,0.4939,0.5580,0.0321
8,0.5157,0.0315,0.5134,0.5692,0.0313
9,0.5267,0.0308,0.4692,0.5752,0.0316
10,0.5356,0.0301,0.5274,0.5913,0.0299
11,0.5452,0.0292,0.5395,0.6019,0.0294
12,0.5531,0.0286,0.5401,0.6060,0.0289
13,0.5597,0.0281,0.5545,0.6168,0.0284
14,0.5659,0.0275,0.5772,0.6243,0.0283
15,0.5749,0.0269,0.5583,0.6289,0.0275
16,0.5791,0.0266,0.5469,0.6299,0.0273
17,0.5833,0.0263,0.5494,0.6327,0.0270
18,0.5901,0.0258,0.5402,0.6364,0.0271
19,0.5947,0.0252,0.5925,0.6489,0.0264
