epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2663,0.0676,0.3138,0.3210,0.0545
1,0.3238,0.0529,0.3384,0.3514,0.0515
2,0.3466,0.0502,0.3221,0.3837,0.0509
3,0.3642,0.0474,0.3550,0.3977,0.0473
4,0.3799,0.0456,0.3823,0.4114,0.0450
5,0.3986,0.0445,0.4012,0.4337,0.0435
6,0.4165,0.0423,0.4105,0.4525,0.0424
7,0.4297,0.0417,0.4210,0.4685,0.0415
8,0.4423,0.0400,0.4448,0.4768,0.0405
9,0.4544,0.0393,0.4430,0.4942,0.0396
10,0.4635,0.0390,0.4678,0.5057,0.0389
11,0.4745,0.0375,0.4675,0.5190,0.0381
12,0.4844,0.0371,0.4847,0.5264,0.0375
13,0.4929,0.0363,0.4890,0.5380,0.0368
14,0.4997,0.0358,0.4849,0.5478,0.0364
15,0.5060,0.0352,0.4716,0.5539,0.0365
16,0.5137,0.0346,0.4752,0.5542,0.0358
17,0.5169,0.0344,0.5281,0.5597,0.0355
18,0.5252,0.0336,0.5077,0.5687,0.0346
19,0.5283,0.0334,0.5090,0.5761,0.0341
20,0.5326,0.0331,0.5025,0.5807,0.0340
21,0.5367,0.0326,0.5421,0.5836,0.0338
22,0.5402,0.0324,0.5517,0.5844,0.0344
23,0.5449,0.0321,0.4878,0.5883,0.0338
24,0.5468,0.0320,0.5588,0.5873,0.0345
25,0.5506,0.0315,0.4917,0.5920,0.0334
26,0.5540,0.0310,0.5073,0.5989,0.0326
27,0.5592,0.0306,0.5497,0.6050,0.0320
28,0.5607,0.0305,0.5287,0.6058,0.0318
29,0.5644,0.0304,0.5567,0.6095,0.0315
30,0.5634,0.0306,0.5554,0.6122,0.0314
31,0.5676,0.0299,0.5551,0.6137,0.0314
32,0.5694,0.0299,0.5831,0.6115,0.0327
33,0.5733,0.0296,0.5871,0.6091,0.0337
34,0.5761,0.0292,0.5104,0.6115,0.0314
35,0.5783,0.0288,0.5484,0.6225,0.0305
36,0.5800,0.0289,0.5491,0.6249,0.0304
37,0.5819,0.0289,0.5965,0.6262,0.0318
38,0.5822,0.0286,0.5778,0.6318,0.0303
39,0.5838,0.0287,0.5873,0.6362,0.0303
40,0.5886,0.0278,0.5692,0.6358,0.0296
41,0.5905,0.0280,0.5221,0.6289,0.0303
42,0.5902,0.0279,0.5834,0.6420,0.0295
43,0.5926,0.0275,0.5278,0.6353,0.0298
44,0.5946,0.0278,0.5555,0.6405,0.0291
45,0.5963,0.0274,0.5460,0.6409,0.0293
46,0.5977,0.0273,0.5689,0.6467,0.0288
47,0.5988,0.0274,0.5337,0.6432,0.0295
48,0.6016,0.0269,0.5857,0.6512,0.0287
49,0.6033,0.0268,0.6057,0.6556,0.0291
50,0.6044,0.0266,0.5658,0.6499,0.0285
51,0.6052,0.0266,0.5991,0.6616,0.0283
52,0.6073,0.0264,0.5241,0.6431,0.0293
53,0.6091,0.0264,0.6085,0.6606,0.0285
54,0.6090,0.0265,0.5768,0.6585,0.0279
55,0.6120,0.0261,0.5593,0.6529,0.0282
56,0.6133,0.0261,0.5975,0.6650,0.0278
57,0.6144,0.0258,0.5694,0.6622,0.0278
58,0.6154,0.0259,0.5978,0.6614,0.0280
59,0.6173,0.0255,0.4978,0.6429,0.0309
60,0.6179,0.0255,0.6037,0.6676,0.0276
61,0.6204,0.0255,0.5708,0.6621,0.0277
62,0.6196,0.0253,0.5796,0.6669,0.0274
63,0.6227,0.0253,0.6067,0.6717,0.0274
64,0.6215,0.0252,0.6305,0.6693,0.0285
65,0.6239,0.0250,0.5969,0.6686,0.0272
66,0.6245,0.0250,0.5948,0.6743,0.0271
67,0.6260,0.0248,0.6062,0.6727,0.0270
68,0.6271,0.0249,0.6009,0.6755,0.0269
69,0.6280,0.0248,0.5704,0.6697,0.0271
70,0.6289,0.0244,0.5919,0.6710,0.0267
71,0.6311,0.0241,0.5372,0.6637,0.0281
72,0.6288,0.0246,0.5812,0.6753,0.0269
73,0.6301,0.0247,0.4590,0.6419,0.0328
74,0.6337,0.0242,0.6075,0.6823,0.0264
75,0.6330,0.0243,0.5991,0.6751,0.0268
76,0.6346,0.0241,0.5954,0.6805,0.0265
77,0.6359,0.0242,0.6267,0.6802,0.0270
78,0.6348,0.0241,0.6055,0.6804,0.0264
79,0.6375,0.0237,0.6083,0.6807,0.0263
80,0.6370,0.0240,0.5657,0.6735,0.0269
81,0.6393,0.0238,0.6326,0.6883,0.0264
82,0.6403,0.0237,0.6151,0.6837,0.0261
83,0.6408,0.0239,0.5613,0.6751,0.0268
84,0.6425,0.0236,0.5728,0.6790,0.0265
85,0.6421,0.0234,0.5918,0.6819,0.0261
86,0.6416,0.0234,0.6508,0.6887,0.0271
87,0.6433,0.0234,0.6145,0.6878,0.0258
88,0.6456,0.0232,0.6103,0.6875,0.0257
89,0.6453,0.0231,0.6261,0.6909,0.0258
90,0.6449,0.0232,0.6099,0.6869,0.0258
91,0.6461,0.0231,0.6025,0.6923,0.0259
92,0.6454,0.0232,0.6393,0.6917,0.0262
93,0.6471,0.0230,0.6522,0.6940,0.0266
94,0.6492,0.0230,0.6044,0.6913,0.0256
95,0.6479,0.0229,0.6291,0.6947,0.0256
96,0.6496,0.0227,0.6221,0.6919,0.0255
97,0.6516,0.0225,0.6490,0.6955,0.0262
98,0.6517,0.0228,0.6272,0.6962,0.0254
99,0.6524,0.0225,0.6582,0.6972,0.0264
