epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2663,0.0676,0.3139,0.3211,0.0545
1,0.3238,0.0529,0.3383,0.3514,0.0515
2,0.3466,0.0502,0.3221,0.3838,0.0509
3,0.3642,0.0474,0.3548,0.3975,0.0473
4,0.3799,0.0456,0.3824,0.4118,0.0450
5,0.3985,0.0445,0.4014,0.4342,0.0435
6,0.4166,0.0423,0.4108,0.4529,0.0424
7,0.4298,0.0417,0.4206,0.4674,0.0415
8,0.4424,0.0400,0.4450,0.4768,0.0405
9,0.4546,0.0393,0.4432,0.4946,0.0396
10,0.4633,0.0390,0.4672,0.5055,0.0389
11,0.4746,0.0375,0.4677,0.5194,0.0381
12,0.4845,0.0371,0.4845,0.5266,0.0375
13,0.4932,0.0363,0.4885,0.5377,0.0368
14,0.4998,0.0358,0.4852,0.5476,0.0364
15,0.5059,0.0352,0.4717,0.5532,0.0365
16,0.5139,0.0347,0.4755,0.5529,0.0358
17,0.5171,0.0344,0.5289,0.5598,0.0355
18,0.5249,0.0336,0.5083,0.5673,0.0346
19,0.5283,0.0334,0.5085,0.5756,0.0341
