epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.5043,0.0377,0.6127,0.6954,0.0236
1,0.6738,0.0205,0.5103,0.7077,0.0244
2,0.7497,0.0149,0.7959,0.8351,0.0147
3,0.8055,0.0107,0.7565,0.8364,0.0122
4,0.8455,0.0078,0.8469,0.8672,0.0122
5,0.8769,0.0057,0.8531,0.8779,0.0108
6,0.9089,0.0038,0.8813,0.8948,0.0117
7,0.9272,0.0027,0.8840,0.8974,0.0150
8,0.9336,0.0023,0.8757,0.8925,0.0146
9,0.9547,0.0015,0.8674,0.8964,0.0108
10,0.9506,0.0016,0.8596,0.8934,0.0113
11,0.9579,0.0014,0.8977,0.9061,0.0167
12,0.9643,0.0012,0.8968,0.9057,0.0142
13,0.9622,0.0013,0.8766,0.9014,0.0128
14,0.9674,0.0011,0.8988,0.9099,0.0161
15,0.9705,0.0010,0.9029,0.9127,0.0163
16,0.9739,0.0008,0.8922,0.8959,0.0291
17,0.9718,0.0009,0.8843,0.9035,0.0135
18,0.9712,0.0009,0.9055,0.9139,0.0166
19,0.9752,0.0008,0.9074,0.9133,0.0205
